"Key","File","Line","Severity","Type","Message"
"78d1aac2-76d4-41ea-a983-377a97fff17b","project1_1:receitasportugal-main/index.html","6","INFO","CODE_SMELL","Complete the task associated to this ""TODO"" comment."
"fc1029d6-71d1-4280-a8fd-0557e7712db2","project1_1:receitasportugal-main/index.html","11","INFO","CODE_SMELL","Complete the task associated to this ""TODO"" comment."
"91c8b29a-f60f-4b78-83a3-2ebea70e7f74","project1_1:receitasportugal-main/src/components/RecipeCard.tsx","94","MAJOR","CODE_SMELL","Extract this nested ternary operation into an independent statement."
"ee37995e-1dc5-40fb-adb2-49f35eb4f1ca","project1_1:receitasportugal-main/src/components/RecipeCard.tsx","156","MAJOR","CODE_SMELL","Do not use Array index in keys"
"f47706b1-99ce-4864-a8c8-891936f91952","project1_1:receitasportugal-main/src/components/RecipeCard.tsx","178","MAJOR","CODE_SMELL","Do not use Array index in keys"
"f5cb0f44-bb6f-4aa2-a5a4-aaf13a44b26b","project1_1:receitasportugal-main/src/components/ui/alert.tsx","31","MAJOR","CODE_SMELL","Headings must have content and the content must be accessible by a screen reader."
"3511b75e-6937-44ff-a767-72cdc9e3f736","project1_1:receitasportugal-main/src/components/ui/breadcrumb.tsx","50","MAJOR","CODE_SMELL","Use <a href=...>, or <area href=...> instead of the ""link"" role to ensure accessibility across all devices."
"9fff38ec-b160-4d5f-a27d-16abc42b0b78","project1_1:receitasportugal-main/src/components/ui/breadcrumb.tsx","63","MAJOR","CODE_SMELL","Use <img alt=...> instead of the ""presentation"" role to ensure accessibility across all devices."
"042e47ce-6dee-4dce-bfac-f5f83976e4b5","project1_1:receitasportugal-main/src/components/ui/breadcrumb.tsx","70","MAJOR","CODE_SMELL","Use <img alt=...> instead of the ""presentation"" role to ensure accessibility across all devices."
"c0b3bdb6-fa30-4fda-b886-0bd22cbaac18","project1_1:receitasportugal-main/src/components/ui/calendar.tsx","45","MAJOR","CODE_SMELL","Move this component definition out of the parent component and pass data as props."
"e4bc6ad1-ec0e-4739-aa87-3c9a50d1af28","project1_1:receitasportugal-main/src/components/ui/calendar.tsx","46","MAJOR","CODE_SMELL","Move this component definition out of the parent component and pass data as props."
"62ab7fbd-81c0-416d-aa0e-5ec4002c962c","project1_1:receitasportugal-main/src/components/ui/card.tsx","19","MAJOR","CODE_SMELL","Headings must have content and the content must be accessible by a screen reader."
